Date;Open;High;Low;Close;Volume;Adj Close
01/07/2004;11933,33008;11988,12012;11018,79004;11325,78027;68700;11325,78027
02/08/2004;11274,4502;11279,70996;10545,88965;11081,79004;70300;11081,79004
01/09/2004;11104,84961;11357,84961;10737,78027;10823,57031;82600;10823,57031
01/10/2004;10893,19043;11410,40039;10575,23047;10771,41992;83800;10771,41992
01/11/2004;10731,01953;11268,80957;10690,9502;10899,25;73400;10899,25
01/12/2004;10790,4502;11500,9502;10721,58984;11488,75977;69900;11488,75977
04/01/2005;11458,26953;11580,69043;11212,62988;11387,58984;89600;11387,58984
01/02/2005;11422,01953;11754,90039;11271,04004;11740,59961;92500;11740,59961
01/03/2005;11734,13965;11975,45996;11506,84961;11668,9502;95600;11668,9502
01/04/2005;11590,4502;11911,90039;10770,58008;11008,90039;89000;11008,90039
02/05/2005;10954,20996;11302,51953;10788,58984;11276,58984;80300;11276,58984
01/06/2005;11220,94043;11594,57031;11148,36035;11584,00977;70600;11584,00977
01/07/2005;11573,37012;11913,5;11540,92969;11899,59961;75800;11899,59961
01/08/2005;11907,41992;12612,16016;11614,70996;12413,59961;105700;12413,59961
01/09/2005;12501,42969;13678,44043;12498,40039;13574,29981;173500;13574,29981
03/10/2005;13566,2002;13783,59961;12996,29004;13606,5;173100;13606,5
01/11/2005;13718,20996;15013,24023;13706,33008;14872,15039;180800;14872,15039
01/12/2005;14914,75;16445,56055;14880,17969;16111,42969;156900;16111,42969
04/01/2006;16294,65039;16754,59961;15059,51953;16649,82031;148600;16649,82031
01/02/2006;16594,90039;16777,36914;15389,58008;16205,42969;146000;16205,42969
01/03/2006;16026,82031;17125,64063;15553,13965;17059,66016;113100;17059,66016
03/04/2006;17127,60938;17563,36914;16750,5;16906,23047;112900;16906,23047
01/05/2006;16929,83008;17375,25;15442,53027;15467,33008;122600;15467,33008
01/06/2006;15603,25;15789,30957;14045,53027;15505,17969;119700;15505,17969
03/07/2006;15573,34961;15710,38965;14437,24023;15456,80957;109700;15456,80957
01/08/2006;15387,51953;16244,83984;15154,05957;16140,75977;103900;16140,75977
01/09/2006;16072,80957;16414,93945;15513,87012;16127,58008;107300;16127,58008
02/10/2006;16169;16901,5293;16028,32031;16399,39063;110000;16399,39063
01/11/2006;16338,71973;16512,50977;15615,55957;16274,33008;113100;16274,33008
01/12/2006;16313,01953;17301,68945;16185,91992;17225,83008;116200;17225,83008
